edge,from,to,distance
1,1,2,
2,1,3,
3,3,4,
4,3,5,
5,4,5,
6,4,8,
7,5,9,
8,6,7,
9,6,9,
10,6,11,
11,8,9,
12,8,10,
13,9,10,
14,10,11,
15,10,12,
16,12,13,
17,3,14,
18,10,26,
19,14,15,
20,14,18,
21,14,19,
22,15,16,
23,15,17,
24,16,26,
25,17,18,
26,17,25,
27,17,26,
28,18,19,
29,18,20,
30,18,22,
31,18,24,
32,18,25,
33,19,20,
34,20,21,
35,20,22,
36,22,23,
37,22,24,
38,23,24,
39,23,28,
40,24,25,
41,24,27,
42,25,27,
43,25,26,
44,26,27,
45,27,29,
46,27,28,
47,28,29,
48,28,30,
49,28,31,
50,29,31,
51,29,32,
52,30,31,
53,31,32,
