node,lon,lat
1,114.124456,22.284502
2,114.125668,22.279051
3,114.128878,22.274865
4,114.133367,22.290534
5,114.13335,22.284327
6,114.133401,22.277582
7,114.147604,22.291782
8,114.14687,22.287106
9,114.146255,22.27973
10,114.143097,22.273996
11,114.146381,22.257189
12,114.164932,22.287256
13,114.159476,22.277576
14,114.155917,22.272574
15,114.15741,22.265945
16,114.175655,22.285659
17,114.174873,22.278862
18,114.173352,22.272573
19,114.171727,22.266326
20,114.185117,22.285453
21,114.187572,22.276069
22,114.192252,22.259916
23,114.195078,22.296949
24,114.209445,22.29572
25,114.206757,22.287587
26,114.223165,22.289474
27,114.222264,22.276778
